plant;date;height_cm;width_cm;note;health
Mrs Sprout;10.06.2024;22.0;14.0;Added during plant creation;3
Fuchur;10.06.2024;53.0;39.0;Added during plant creation;3
Timon;10.06.2024;16.0;20.0;Added during plant creation;3
Pumbaa;10.06.2024;21.0;29.0;Added during plant creation;3
Stefan;14.06.2024;18.0;21.0;;3
Beehome;14.06.2024;70.0;30.0;Dpne;3
Brock;14.06.2024;13.0;13.0;;3
Elvis;14.06.2024;16.0;52.0;;3
Jerry;14.06.2024;31.0;32.0;;3
Kelly;14.06.2024;14.0;19.0;;3
Lucy;14.06.2024;30.0;24.0;;3
Sandy;14.06.2024;26.0;26.0;;3
Nadja;14.06.2024;40.0;26.0;;3
Zoey;14.06.2024;13.0;35.0;;3
Chrom;14.06.2024;60.0;45.0;;3
Zane;14.06.2024;10.0;35.0;;3
Hella;14.06.2024;22.0;46.0;;3
Terry;14.06.2024;26.0;28.0;Dome;3
Klaus;14.06.2024;56.0;27.0;;3
Mike;14.06.2024;37.0;16.0;;3
Biggie;14.06.2024;12.0;26.0;;3
Harry;14.06.2024;18.0;37.0;;3
Nosferatu;14.06.2024;34.0;30.0;;3
Tony;14.06.2024;24.0;23.0;;3
Louie;14.06.2024;18.0;21.0;;3
Jake;14.06.2024;23.0;29.0;;3
Charles;14.06.2024;23.0;27.0;;3
Ray;14.06.2024;22.0;30.0;;3
Amy;14.06.2024;17.0;18.0;;3
Rosa;14.06.2024;19.0;23.0;;3
Gina;14.06.2024;18.0;22.0;;3
Scully;14.06.2024;15.0;18.0;;3
Hitchcock;14.06.2024;17.0;23.0;;3
Lucas;14.06.2024;7.0;5.0;;3
Nate;14.06.2024;11.0;7.0;;3
Sandra;14.06.2024;10.0;6.0;;3
Jim;14.06.2024;10.0;6.0;;3
Tim;14.06.2024;10.0;8.0;;3
Chris;14.06.2024;11.0;7.0;;3
Bart;14.06.2024;6.0;4.0;;3
Zoey;18.06.2024;24.0;50.0;;3
Zane;18.06.2024;24.0;41.0;;3
Stefan;25.06.2024;18.0;30.0;;3
Beehome;25.06.2024;70.0;30.0;Mustard seeds appeared;3
Brock;25.06.2024;20.0;22.0;Probably needs repotting soon;3
Cerberus;25.06.2024;10.0;7.0;Looks like he's losing one stem;3
Elvis;25.06.2024;15.0;45.0;;3
Eva Longoria;25.06.2024;80.0;43.0;;3
Findus;25.06.2024;78.0;70.0;is getting pretty big for his pot;3
Jerry;25.06.2024;40.0;36.0;;3
Kelly;25.06.2024;28.0;35.0;;3
Kevin;25.06.2024;40.0;60.0;first fruit, very lanky, might need more support;3
Kevin;25.06.2024;45.0;22.0;Probably needs repot soon;3
Liliana;25.06.2024;22.0;26.0;Might need repotting soon again;3
Lucy;25.06.2024;35.0;28.0;;3
Sandy;25.06.2024;34.0;30.0;;3
Maria;25.06.2024;9.0;8.0;Still not very bushy sadly;3
Nadja;25.06.2024;44.0;24.0;Leaves keep drooping since chilis started growing, there's probably not enough nutrients;3
Pepe;25.06.2024;2.0;4.5;Still not rooting properly;3
Peppa;25.06.2024;5.0;18.0;;3
Rosy;25.06.2024;48.0;42.0;Needs a new pot;3
Zoey;25.06.2024;38.0;64.0;Still no fruit even though there are a lot of flowers;3
Chrom;25.06.2024;32.0;35.0;;3
Darryl;25.06.2024;34.0;9.0;;3
Zane;25.06.2024;32.0;55.0;Still no fruit even though there are a lot of flowers;3
Ivan;25.06.2024;8.0;9.0;;3
Tom;25.06.2024;40.0;35.0;;3
Hella;25.06.2024;22.0;43.0;Some leaves burnt from heavy sun;3
Terry;25.06.2024;52.0;33.0;first flower buds;3
Martha;25.06.2024;20.0;25.0;;3
Dirk;25.06.2024;4.5;2.0;;3
Klaus;25.06.2024;70.0;65.0;;3
Biggie;25.06.2024;12.0;18.0;;3
Harry;25.06.2024;19.0;35.0;;3
Sam;25.06.2024;3.0;3.0;;3
Nosferatu;25.06.2024;35.0;35.0;;3
Tony;25.06.2024;40.0;32.0;;3
Louie;25.06.2024;32.0;25.0;;3
Jake;25.06.2024;44.0;55.0;;3
Charles;25.06.2024;45.0;33.0;;3
Ray;25.06.2024;60.0;35.0;first flower buds;3
Amy;25.06.2024;38.0;40.0;;3
Rosa;25.06.2024;42.0;41.0;;3
Gina;25.06.2024;45.0;32.0;;3
Scully;25.06.2024;43.0;35.0;;3
Hitchcock;25.06.2024;48.0;50.0;;3
Lucas;25.06.2024;7.0;5.0;;3
Nate;25.06.2024;15.0;10.0;;3
Sandra;25.06.2024;12.0;9.0;;3
Jim;25.06.2024;12.0;11.0;Might have been attacked by snails;3
Tim;25.06.2024;12.0;10.0;Might be a bit crowded;3
Chris;25.06.2024;16.0;10.0;;3
Bart;25.06.2024;9.0;6.0;;3
Bond;25.06.2024;11.0;8.0;Might have been attacked by snails;3
Mrs Sprout;25.06.2024;23.0;14.0;;3
Fuchur;25.06.2024;50.0;32.0;;3
Timon;25.06.2024;19.0;19.0;;3
Pumbaa;25.06.2024;22.0;26.0;standing a bit tilted;3
Rihanna;26.06.2024;44.0;30.0;Added during plant creation;3
Jay;26.06.2024;19.0;23.0;Added during plant creation;3
Avi;26.06.2024;0.1;0.1;Added during plant creation;3
Albus;26.06.2024;0.1;0.1;Added during plant creation;3
Jenn;26.06.2024;3.5;3.5;Added during plant creation;3
Jenn;26.06.2024;2.5;6.0;Added during plant creation;3
Joe;26.06.2024;2.5;5.5;Added during plant creation;3
Jack;26.06.2024;0.5;2.5;Added during plant creation;3
Jane;26.06.2024;0.5;4.0;Added during plant creation;3
Bubba;26.06.2024;51.0;34.0;Added during plant creation;3
Tupac;28.06.2024;2.0;10.0;Added during plant creation;3
Smaug;28.06.2024;14.0;13.0;Added during plant creation;3
Mike;30.06.2024;45.0;25.0;;3
Stefan;03.07.2024;22.0;30.0;;3
Beehome;03.07.2024;76.0;30.0;Some plants are already dying but others are freshly growing;3
Brock;03.07.2024;20.0;25.0;Might have grown too slow for fruiting;3
Cerberus;03.07.2024;10.0;8.0;Still very dangerous, but I think he'll make it;3
Elvis;03.07.2024;17.0;50.0;;3
Eva Longoria;03.07.2024;88.0;38.0;;3
Findus;03.07.2024;75.0;72.0;Has a bigger pot and the stick is removed;3
Jerry;03.07.2024;42.0;35.0;A bit sideways;3
Kelly;03.07.2024;44.0;40.0;;3
Kevin;03.07.2024;34.0;50.0;Fruits are growing;3
Liliana;03.07.2024;21.0;35.0;;3
Lucy;03.07.2024;46.0;35.0;Dome;3
Sandy;03.07.2024;38.0;35.0;;3
Maria;03.07.2024;10.0;10.0;;3
Nadja;03.07.2024;42.0;37.0;Adding some fertilizer to water helped;3
Pepe;03.07.2024;3.0;4.0;Roots seem to have come out, new flowering buds are forming, but still hanging a bit sideways;3
Peppa;03.07.2024;18.0;6.0;;3
Rosy;03.07.2024;44.0;58.0;doing a lot better since she has new soil;3
Zoey;03.07.2024;45.0;95.0;;3
Chrom;03.07.2024;72.0;60.0;;3
Darryl;03.07.2024;33.0;10.0;Many new sprouts and great color since he has more light;3
