Date;Plant;Height;Width;Note
10.06.2024;Tony;25.0;13.0;
14.06.2024;Tony;24.0;23.0;
25.06.2024;Tony;40.0;32.0;
03.07.2024;Tony;56.0;45.0;
16.07.2024;Tony;60.0;45.0;
31.07.2024;Tony;83.0;40.0;DOne
15.08.2024;Tony;94.0;60.0;
19.05.2024;Louie;9.0;4.0;Added during plant creation
04.06.2024;Louie;12.0;10.0;
10.06.2024;Louie;14.0;16.0;
14.06.2024;Louie;18.0;21.0;
25.06.2024;Louie;32.0;25.0;
03.07.2024;Louie;50.0;55.0;
16.07.2024;Louie;68.0;60.0;
31.07.2024;Louie;83.0;60.0;
15.08.2024;Louie;79.0;47.0;
24.05.2024;Jake;11.0;5.5;Added during plant creation
04.06.2024;Jake;15.0;13.0;
10.06.2024;Jake;18.0;20.0;
14.06.2024;Jake;23.0;29.0;
25.06.2024;Jake;44.0;55.0;
03.07.2024;Jake;70.0;56.0;
16.07.2024;Jake;75.0;65.0;
31.07.2024;Jake;72.0;48.0;
15.08.2024;Jake;81.0;57.0;
24.05.2024;Charles;12.0;7.0;Added during plant creation
04.06.2024;Charles;14.0;10.0;
10.06.2024;Charles;21.0;20.0;
14.06.2024;Charles;23.0;27.0;
25.06.2024;Charles;45.0;33.0;
03.07.2024;Charles;71.0;60.0;
16.07.2024;Charles;95.0;85.0;
31.07.2024;Charles;87.0;40.0;Top branch got broken off during move
15.08.2024;Charles;70.0;60.0;
26.05.2024;Ray;11.0;8.0;Added during plant creation
04.06.2024;Ray;16.0;17.0;
10.06.2024;Ray;25.0;24.0;
14.06.2024;Ray;22.0;30.0;
25.06.2024;Ray;60.0;35.0;first flower buds
03.07.2024;Ray;85.0;65.0;
16.07.2024;Ray;94.0;74.0;
31.07.2024;Ray;89.0;70.0;
15.08.2024;Ray;106.0;68.0;
26.05.2024;Amy;12.0;8.0;Added during plant creation
04.06.2024;Amy;13.0;13.0;
10.06.2024;Amy;15.0;15.0;DOne
14.06.2024;Amy;17.0;18.0;
25.06.2024;Amy;38.0;40.0;
03.07.2024;Amy;61.0;54.0;
16.07.2024;Amy;88.0;56.0;
16.07.2024;Amy;84.0;60.0;
31.07.2024;Amy;110.0;65.0;
15.08.2024;Amy;120.0;61.0;
26.05.2024;Rosa;13.0;8.0;Added during plant creation
04.06.2024;Rosa;14.0;12.0;
10.06.2024;Rosa;17.0;18.0;
14.06.2024;Rosa;19.0;23.0;
25.06.2024;Rosa;42.0;41.0;
03.07.2024;Rosa;73.0;59.0;
16.07.2024;Rosa;94.0;60.0;
31.07.2024;Rosa;104.0;85.0;
15.08.2024;Rosa;150.0;85.0;
26.05.2024;Gina;8.0;5.0;Added during plant creation
04.06.2024;Gina;11.0;13.0;
10.06.2024;Gina;18.0;20.0;Desperately needs a repot
14.06.2024;Gina;18.0;22.0;
25.06.2024;Gina;45.0;32.0;
03.07.2024;Gina;70.0;60.0;
31.07.2024;Gina;96.0;74.0;
15.08.2024;Gina;120.0;50.0;
26.05.2024;Scully;7.0;5.0;Added during plant creation
04.06.2024;Scully;9.0;10.0;
10.06.2024;Scully;14.0;15.0;
14.06.2024;Scully;15.0;18.0;
25.06.2024;Scully;43.0;35.0;
03.07.2024;Scully;68.0;57.0;
16.07.2024;Scully;88.0;69.0;
31.07.2024;Scully;97.0;80.0;
15.08.2024;Scully;86.0;53.0;
26.05.2024;Hitchcock;8.0;7.0;Added during plant creation
04.06.2024;Hitchcock;13.0;12.0;
10.06.2024;Hitchcock;15.0;17.0;
14.06.2024;Hitchcock;17.0;23.0;
25.06.2024;Hitchcock;48.0;50.0;
03.07.2024;Hitchcock;71.0;54.0;
16.07.2024;Hitchcock;87.0;65.0;
31.07.2024;Hitchcock;90.0;96.0;
15.08.2024;Hitchcock;89.0;46.0;
04.06.2024;Lucas;7.0;7.0;Added during plant creation
10.06.2024;Lucas;7.0;6.0;Grows well, but doesn't have a lot of space under Lucy
14.06.2024;Lucas;7.0;5.0;
25.06.2024;Lucas;7.0;5.0;
03.07.2024;Lucas;9.0;6.0;
16.07.2024;Lucas;10.0;7.0;
31.07.2024;Lucas;11.0;9.0;
04.06.2024;Nate;8.0;7.0;Added during plant creation
10.06.2024;Nate;10.0;7.0;
14.06.2024;Nate;11.0;7.0;
25.06.2024;Nate;15.0;10.0;
16.07.2024;Nate;20.0;20.0;
31.07.2024;Nate;23.0;14.0;
04.06.2024;Sandra;12.0;8.0;Added during plant creation
10.06.2024;Sandra;10.0;8.0;
14.06.2024;Sandra;10.0;6.0;
25.06.2024;Sandra;12.0;9.0;
03.07.2024;Sandra;15.0;10.0;
16.07.2024;Sandra;16.0;13.0;
31.07.2024;Sandra;22.0;15.0;
04.06.2024;Jim;8.0;5.0;Added during plant creation
10.06.2024;Jim;8.0;5.0;
14.06.2024;Jim;10.0;6.0;
25.06.2024;Jim;12.0;11.0;Might have been attacked by snails
03.07.2024;Jim;17.0;12.0;Something keeps eating leaves
